loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
Fully Paid,37500,Not Verified,< 1 year,OTHER,13.47,12000,debt_consolidation, 36 months,C
Fully Paid,86000,Verified,10+ years,MORTGAGE,17.58,14000,debt_consolidation, 36 months,F
Fully Paid,52160,Not Verified,5 years,MORTGAGE,11.89,1750,credit_card, 36 months,B
Fully Paid,83252,Verified,4 years,RENT,12.21,10400,credit_card, 36 months,B
Charged Off,202000,Verified,5 years,MORTGAGE,17.58,22000,debt_consolidation, 36 months,F
Fully Paid,75000,Not Verified,10+ years,MORTGAGE,14.11,4000,educational, 36 months,D
Fully Paid,56000,Verified,2 years,RENT,14.74,18000,credit_card, 36 months,D
Fully Paid,53000,Verified,2 years,RENT,9.32,3000,debt_consolidation, 36 months,A
Fully Paid,34000,Not Verified,3 years,RENT,8.00,5000,credit_card, 36 months,A
Fully Paid,32000,Not Verified,3 years,RENT,7.68,5000,wedding, 36 months,A
Fully Paid,20000,Not Verified,< 1 year,RENT,16.00,3200,educational, 36 months,E
Fully Paid,52692,Not Verified,< 1 year,MORTGAGE,11.89,4500,moving, 36 months,B
Fully Paid,35004,Source Verified,< 1 year,RENT,12.84,10000,debt_consolidation, 36 months,C
Fully Paid,90000,Verified,10+ years,MORTGAGE,12.53,10000,medical, 36 months,C
Fully Paid,22000,Source Verified,3 years,RENT,13.16,9600,home_improvement, 36 months,C
Fully Paid,90000,Not Verified,4 years,RENT,9.32,13000,debt_consolidation, 36 months,A
Fully Paid,77350,Not Verified,2 years,MORTGAGE,13.79,4800,credit_card, 36 months,C
Fully Paid,35000,Not Verified,1 year,RENT,12.21,8000,small_business, 36 months,B
Fully Paid,63936,Verified,2 years,RENT,14.42,13650,credit_card, 36 months,D
Fully Paid,55000,Not Verified,4 years,RENT,14.42,10000,debt_consolidation, 36 months,D
Charged Off,63800,Verified,6 years,RENT,13.16,11200,small_business, 36 months,C
Charged Off,36000,Not Verified,10+ years,MORTGAGE,13.79,10000,home_improvement, 36 months,C
Fully Paid,63000,Source Verified,2 years,RENT,14.11,15000,debt_consolidation, 36 months,D
Fully Paid,135000,Source Verified,< 1 year,MORTGAGE,8.00,10800,home_improvement, 36 months,A
Fully Paid,41745,Not Verified,2 years,RENT,9.63,3200,credit_card, 36 months,A
Fully Paid,99996,Not Verified,3 years,MORTGAGE,8.00,8000,car, 36 months,A
Fully Paid,54500,Verified,7 years,RENT,9.32,2400,credit_card, 36 months,A
Fully Paid,72000,Not Verified,8 years,MORTGAGE,13.16,15250,small_business, 36 months,C
Fully Paid,63000,Not Verified,10+ years,MORTGAGE,7.68,2500,wedding, 36 months,A
Fully Paid,51000,Verified,5 years,RENT,9.63,8000,house, 36 months,A
Fully Paid,58000,Verified,< 1 year,OTHER,12.21,16000,small_business, 36 months,B
Fully Paid,24000,Not Verified,4 years,RENT,9.32,3000,small_business, 36 months,A
Fully Paid,31000,Source Verified,9 years,MORTGAGE,13.16,15000,debt_consolidation, 36 months,C
Fully Paid,54000,Not Verified,< 1 year,RENT,12.53,6000,vacation, 36 months,C
Fully Paid,60000,Verified,6 years,MORTGAGE,15.68,10500,car, 36 months,E
Fully Paid,35000,Verified,3 years,MORTGAGE,14.74,13000,debt_consolidation, 36 months,D
Fully Paid,200004,Source Verified,10+ years,MORTGAGE,7.68,6000,car, 36 months,A
Fully Paid,70000,Source Verified,2 years,RENT,13.79,7000,car, 36 months,C
Fully Paid,33000,Not Verified,2 years,RENT,8.00,7600,debt_consolidation, 36 months,A
Fully Paid,125004,Verified,10+ years,OTHER,14.74,10000,debt_consolidation, 36 months,D
Fully Paid,165996,Verified,8 years,MORTGAGE,9.32,10000,home_improvement, 36 months,A
Fully Paid,42000,Not Verified,< 1 year,RENT,7.37,3600,car, 36 months,A
Fully Paid,82300,Verified,3 years,RENT,9.63,3600,other, 36 months,A
Fully Paid,47581,Not Verified,2 years,RENT,13.16,6000,debt_consolidation, 36 months,C
Fully Paid,63000,Verified,10+ years,MORTGAGE,13.79,11400,credit_card, 36 months,C
Fully Paid,66996,Source Verified,< 1 year,RENT,16.00,16000,debt_consolidation, 36 months,E
Fully Paid,35004,Not Verified,1 year,RENT,11.89,6000,major_purchase, 36 months,B
Fully Paid,52000,Not Verified,10+ years,MORTGAGE,12.21,15200,credit_card, 36 months,B
Fully Paid,32000,Verified,2 years,MORTGAGE,11.89,14000,debt_consolidation, 36 months,B
Fully Paid,32000,Verified,< 1 year,RENT,13.16,8500,debt_consolidation, 36 months,C
Charged Off,31200,Verified,4 years,RENT,8.00,10000,debt_consolidation, 36 months,A
Fully Paid,106000,Source Verified,2 years,MORTGAGE,9.32,10200,debt_consolidation, 36 months,A
Fully Paid,71599,Verified,< 1 year,RENT,9.63,6000,other, 36 months,A
Fully Paid,50000,Verified,1 year,OWN,12.21,15200,other, 36 months,B
Fully Paid,34000,Verified,4 years,RENT,14.74,10000,small_business, 36 months,D
Fully Paid,107000,Not Verified,2 years,MORTGAGE,9.63,10800,debt_consolidation, 36 months,A
Charged Off,73000,Source Verified,2 years,MORTGAGE,14.11,6500,home_improvement, 36 months,D
Fully Paid,30144,Not Verified,3 years,MORTGAGE,12.84,18000,debt_consolidation, 36 months,C
Fully Paid,116004,Not Verified,10+ years,MORTGAGE,12.21,20000,home_improvement, 36 months,B
Fully Paid,85000,Not Verified,5 years,RENT,14.11,5800,debt_consolidation, 36 months,D
Fully Paid,68000,Source Verified,1 year,MORTGAGE,15.68,5500,home_improvement, 36 months,E
Fully Paid,54996,Source Verified,5 years,RENT,8.00,5000,debt_consolidation, 36 months,A
Fully Paid,1.00E+05,Verified,< 1 year,MORTGAGE,9.63,15000,small_business, 36 months,A
Charged Off,65000,Verified,2 years,RENT,16.00,18000,debt_consolidation, 36 months,E
Fully Paid,80600,Verified,2 years,MORTGAGE,12.21,15000,debt_consolidation, 36 months,B
Fully Paid,65000,Not Verified,6 years,RENT,9.32,8000,debt_consolidation, 36 months,A
Fully Paid,72000,Not Verified,2 years,RENT,13.47,9000,debt_consolidation, 36 months,C
Fully Paid,35000,Not Verified,5 years,RENT,12.84,5400,debt_consolidation, 36 months,C
Fully Paid,50004,Not Verified,< 1 year,RENT,16.00,12000,debt_consolidation, 36 months,E
Fully Paid,70000,Not Verified,4 years,MORTGAGE,13.16,6000,debt_consolidation, 36 months,C
Fully Paid,24000,Not Verified,3 years,RENT,12.84,1000,other, 36 months,C
Fully Paid,55000,Source Verified,1 year,RENT,12.84,15000,debt_consolidation, 36 months,C
Fully Paid,25800,Not Verified,10+ years,RENT,13.79,2500,medical, 36 months,C
Fully Paid,18300,Not Verified,< 1 year,RENT,14.74,1200,other, 36 months,D
Fully Paid,48000,Not Verified,10+ years,MORTGAGE,9.63,15000,car, 36 months,A
Fully Paid,36300,Not Verified,< 1 year,RENT,7.68,4000,car, 36 months,A
Fully Paid,68004,Not Verified,10+ years,MORTGAGE,12.21,3500,small_business, 36 months,B
Fully Paid,110000,Verified,5 years,RENT,14.11,20000,credit_card, 36 months,D
Fully Paid,80000,Not Verified,5 years,RENT,8.00,6000,other, 36 months,A
Fully Paid,34000,Source Verified,4 years,RENT,12.21,8200,small_business, 36 months,B
Fully Paid,42996,Not Verified,1 year,OWN,14.11,7200,other, 36 months,D
Fully Paid,60000,Not Verified,10+ years,MORTGAGE,11.89,6400,other, 36 months,B
Fully Paid,71000,Not Verified,1 year,MORTGAGE,12.21,9800,credit_card, 36 months,B
Fully Paid,60000,Not Verified,10+ years,RENT,12.21,12000,debt_consolidation, 36 months,B
Fully Paid,3.00E+05,Verified,1 year,RENT,11.58,16000,car, 36 months,B
Fully Paid,75000,Source Verified,3 years,MORTGAGE,8.00,5600,wedding, 36 months,A
Fully Paid,25000,Not Verified,1 year,RENT,8.00,1000,other, 36 months,A
Fully Paid,130000,Verified,10+ years,MORTGAGE,11.89,15000,renewable_energy, 36 months,B
Fully Paid,39000,Not Verified,< 1 year,RENT,14.42,3200,wedding, 36 months,D
Fully Paid,49000,Not Verified,2 years,RENT,9.63,7750,other, 36 months,A
Fully Paid,55000,Verified,5 years,RENT,9.63,9500,medical, 36 months,A
Fully Paid,96000,Verified,10+ years,RENT,16.63,25000,debt_consolidation, 36 months,E
Fully Paid,56160,Not Verified,< 1 year,RENT,14.42,3000,major_purchase, 36 months,D
Fully Paid,35000,Not Verified,5 years,RENT,12.21,10000,debt_consolidation, 36 months,B
Charged Off,98736,Not Verified,10+ years,OWN,11.89,9000,car, 36 months,B
Fully Paid,45000,Not Verified,< 1 year,RENT,11.89,8500,debt_consolidation, 36 months,B
Charged Off,58106,Verified,4 years,RENT,12.84,5000,car, 36 months,C
Fully Paid,24996,Not Verified,2 years,RENT,12.53,7000,debt_consolidation, 36 months,C
Fully Paid,120000,Verified,2 years,RENT,15.05,25000,other, 36 months,D
Fully Paid,36996,Not Verified,6 years,RENT,12.53,3800,debt_consolidation, 36 months,C
Fully Paid,39000,Not Verified,1 year,RENT,8.00,6000,debt_consolidation, 36 months,A
Fully Paid,44094,Not Verified,1 year,RENT,7.37,3600,moving, 36 months,A
Fully Paid,108000,Not Verified,1 year,MORTGAGE,12.53,18000,educational, 36 months,C
Fully Paid,50000,Not Verified,1 year,MORTGAGE,7.68,8000,debt_consolidation, 36 months,A
Fully Paid,80000,Not Verified,< 1 year,RENT,13.79,9000,other, 36 months,C
Fully Paid,42996,Not Verified,2 years,RENT,16.32,12450,debt_consolidation, 36 months,E
Fully Paid,81996,Not Verified,1 year,RENT,12.53,4000,debt_consolidation, 36 months,C
Fully Paid,42000,Not Verified,2 years,MORTGAGE,12.84,20000,home_improvement, 36 months,C
Fully Paid,25000,Not Verified,< 1 year,RENT,12.84,6400,debt_consolidation, 36 months,C
Fully Paid,41600,Not Verified,2 years,MORTGAGE,15.05,3000,major_purchase, 36 months,D
Fully Paid,35364,Not Verified,< 1 year,RENT,9.32,10000,debt_consolidation, 36 months,A
Fully Paid,96000,Not Verified,3 years,OTHER,16.63,12000,small_business, 36 months,E
Fully Paid,57000,Verified,10+ years,OWN,8.00,9000,other, 36 months,A
Fully Paid,70000,Verified,< 1 year,MORTGAGE,15.37,9600,debt_consolidation, 36 months,D
Fully Paid,70000,Not Verified,10+ years,RENT,11.89,18000,debt_consolidation, 36 months,B
Fully Paid,30000,Not Verified,6 years,MORTGAGE,14.42,6600,debt_consolidation, 36 months,D
Charged Off,128000,Verified,< 1 year,MORTGAGE,12.53,3500,vacation, 36 months,C
Fully Paid,24000,Not Verified,2 years,MORTGAGE,9.63,1500,educational, 36 months,A
Fully Paid,80000,Not Verified,5 years,MORTGAGE,15.37,2750,major_purchase, 36 months,D
Fully Paid,44000,Not Verified,10+ years,OWN,9.32,8000,debt_consolidation, 36 months,A
Fully Paid,56996,Source Verified,2 years,OWN,9.63,9575,car, 36 months,A
Fully Paid,48000,Source Verified,10+ years,MORTGAGE,9.63,10000,credit_card, 36 months,A
Charged Off,25000,Not Verified,3 years,RENT,13.16,2000,debt_consolidation, 36 months,C
Fully Paid,30000,Not Verified,3 years,RENT,14.11,3600,small_business, 36 months,D
Fully Paid,12000,Not Verified,1 year,RENT,15.05,4500,debt_consolidation, 36 months,D
Fully Paid,81000,Source Verified,2 years,MORTGAGE,10.95,5200,other, 36 months,B
Fully Paid,85000,Verified,1 year,MORTGAGE,12.84,15000,small_business, 36 months,C
Fully Paid,37000,Verified,7 years,RENT,14.11,3600,debt_consolidation, 36 months,D
Fully Paid,18460,Not Verified,< 1 year,RENT,7.68,2775,debt_consolidation, 36 months,A
Fully Paid,117500,Verified,3 years,MORTGAGE,7.37,17500,car, 36 months,A
Fully Paid,125000,Not Verified,2 years,RENT,9.63,14000,debt_consolidation, 36 months,A
Fully Paid,180000,Verified,< 1 year,OWN,8.00,10000,medical, 36 months,A
Charged Off,60000,Not Verified,8 years,MORTGAGE,14.42,1500,medical, 36 months,D
Fully Paid,80000,Source Verified,6 years,RENT,13.16,6400,credit_card, 36 months,C
Charged Off,76000,Verified,1 year,MORTGAGE,13.79,25000,home_improvement, 36 months,C
Charged Off,26000,Not Verified,10+ years,RENT,16.63,10000,house, 36 months,E
Fully Paid,87996,Verified,1 year,RENT,16.00,10000,wedding, 36 months,E
Fully Paid,42000,Not Verified,1 year,RENT,9.63,10000,home_improvement, 36 months,A
Fully Paid,26004,Not Verified,10+ years,MORTGAGE,14.74,4000,debt_consolidation, 36 months,D
Fully Paid,112000,Verified,4 years,OTHER,9.32,9000,small_business, 36 months,A
Fully Paid,79000,Source Verified,1 year,MORTGAGE,8.00,5000,house, 36 months,A
Fully Paid,43200,Source Verified,< 1 year,RENT,16.00,13000,debt_consolidation, 36 months,E
Charged Off,91992,Source Verified,2 years,MORTGAGE,12.53,9000,home_improvement, 36 months,C
Fully Paid,58650,Source Verified,1 year,MORTGAGE,17.26,19200,debt_consolidation, 36 months,F
Fully Paid,35000,Source Verified,5 years,RENT,15.37,9000,vacation, 36 months,D
Fully Paid,38000,Not Verified,1 year,RENT,15.37,5000,house, 36 months,D
Fully Paid,72000,Verified,9 years,MORTGAGE,11.89,18000,debt_consolidation, 36 months,B
Fully Paid,17600,Not Verified,< 1 year,RENT,16.00,4000,other, 36 months,E
Charged Off,38000,Not Verified,5 years,RENT,9.63,4500,other, 36 months,A
Charged Off,60000,Verified,3 years,MORTGAGE,14.42,15250,debt_consolidation, 36 months,D
Fully Paid,36000,Not Verified,2 years,OWN,12.53,12000,other, 36 months,C
Fully Paid,53117,Verified,1 year,RENT,13.79,2000,credit_card, 36 months,C
Fully Paid,8088,Not Verified,10+ years,RENT,14.42,1600,medical, 36 months,D
Fully Paid,22000,Not Verified,2 years,OWN,15.05,4000,car, 36 months,D
Fully Paid,37148.8,Source Verified,4 years,RENT,14.42,14000,debt_consolidation, 36 months,D
Fully Paid,80000,Source Verified,< 1 year,RENT,13.47,12000,small_business, 36 months,C
Fully Paid,46800,Not Verified,2 years,RENT,9.32,5000,moving, 36 months,A
Fully Paid,88020,Verified,6 years,RENT,15.37,6000,debt_consolidation, 36 months,D
Fully Paid,49716,Verified,6 years,MORTGAGE,9.32,8000,other, 36 months,A
Fully Paid,48500,Verified,< 1 year,RENT,12.21,4500,major_purchase, 36 months,B
Charged Off,45000,Source Verified,1 year,RENT,14.11,10000,debt_consolidation, 36 months,D
Fully Paid,72000,Verified,5 years,MORTGAGE,12.21,8000,debt_consolidation, 36 months,B
Charged Off,40000,Not Verified,3 years,OTHER,15.68,9600,other, 36 months,E
Fully Paid,48000,Source Verified,1 year,RENT,12.84,10000,other, 36 months,C
Fully Paid,60000,Verified,4 years,MORTGAGE,12.53,16750,home_improvement, 36 months,C
Fully Paid,39600,Source Verified,8 years,MORTGAGE,9.32,8250,credit_card, 36 months,A
Charged Off,92000,Verified,< 1 year,OWN,14.11,12000,small_business, 36 months,D
Charged Off,37800,Verified,1 year,OTHER,12.53,10000,car, 36 months,C
Fully Paid,18701,Not Verified,< 1 year,MORTGAGE,14.11,4200,home_improvement, 36 months,D
Fully Paid,43000,Not Verified,1 year,RENT,17.26,4200,debt_consolidation, 36 months,F
Fully Paid,75000,Not Verified,5 years,MORTGAGE,12.21,10000,credit_card, 36 months,B
Fully Paid,32500,Not Verified,2 years,OWN,14.42,5600,other, 36 months,D
Fully Paid,30000,Not Verified,7 years,MORTGAGE,13.16,1500,other, 36 months,C
Fully Paid,30929.6,Verified,10+ years,MORTGAGE,7.68,5300,debt_consolidation, 36 months,A
Fully Paid,65004,Not Verified,6 years,MORTGAGE,8.00,7100,debt_consolidation, 36 months,A
Charged Off,121900,Verified,9 years,MORTGAGE,13.47,15000,educational, 36 months,C
Fully Paid,78000,Not Verified,10+ years,MORTGAGE,14.74,20000,debt_consolidation, 36 months,D
Fully Paid,62000,Source Verified,9 years,MORTGAGE,8.00,4800,home_improvement, 36 months,A
Fully Paid,50004,Not Verified,4 years,RENT,12.84,7200,debt_consolidation, 36 months,C
Fully Paid,30000,Not Verified,< 1 year,MORTGAGE,14.74,8000,debt_consolidation, 36 months,D
Charged Off,70000,Not Verified,10+ years,RENT,15.68,11000,home_improvement, 36 months,E
Fully Paid,28000,Verified,5 years,OWN,15.37,4000,debt_consolidation, 36 months,D
Fully Paid,34000,Not Verified,4 years,MORTGAGE,9.32,9800,debt_consolidation, 36 months,A
Fully Paid,135000,Not Verified,10+ years,MORTGAGE,9.32,8000,car, 36 months,A
Fully Paid,34152,Source Verified,5 years,RENT,13.79,5000,debt_consolidation, 36 months,C
Fully Paid,60000,Source Verified,4 years,RENT,11.89,12500,credit_card, 36 months,B
Fully Paid,45204,Source Verified,< 1 year,MORTGAGE,12.21,4750,car, 36 months,B
Charged Off,1.00E+05,Source Verified,4 years,MORTGAGE,14.11,10000,debt_consolidation, 36 months,D
Fully Paid,45996,Not Verified,3 years,RENT,15.68,12000,debt_consolidation, 36 months,E
Fully Paid,44000,Not Verified,2 years,RENT,13.16,9600,debt_consolidation, 36 months,C
Fully Paid,75000,Not Verified,3 years,RENT,14.74,12800,credit_card, 36 months,D
Fully Paid,51295,Source Verified,10+ years,RENT,15.37,19650,credit_card, 36 months,D
Charged Off,57000,Not Verified,2 years,RENT,14.74,5000,educational, 36 months,D
Fully Paid,26784,Not Verified,8 years,RENT,14.74,5500,debt_consolidation, 36 months,D
Fully Paid,84000,Not Verified,7 years,RENT,13.16,12000,debt_consolidation, 36 months,C
Fully Paid,56100,Verified,1 year,RENT,14.74,12000,debt_consolidation, 36 months,D
Fully Paid,38000,Not Verified,10+ years,OWN,7.68,4000,debt_consolidation, 36 months,A
Fully Paid,34500,Source Verified,1 year,RENT,13.79,5000,debt_consolidation, 36 months,C
Fully Paid,62000,Verified,2 years,RENT,13.16,12800,debt_consolidation, 36 months,C
Fully Paid,52000,Not Verified,10+ years,RENT,15.68,6000,debt_consolidation, 36 months,E
Fully Paid,44004,Source Verified,10+ years,MORTGAGE,11.89,7200,credit_card, 36 months,B
Fully Paid,40000,Not Verified,2 years,MORTGAGE,12.21,6000,major_purchase, 36 months,B
Fully Paid,132000,Source Verified,4 years,RENT,12.84,10000,credit_card, 36 months,C
Fully Paid,60000,Not Verified,3 years,MORTGAGE,8.00,10000,car, 36 months,A
Fully Paid,70000,Not Verified,1 year,RENT,11.89,6000,other, 36 months,B
Charged Off,50000,Source Verified,2 years,MORTGAGE,16.00,15000,small_business, 36 months,E
Charged Off,48000,Verified,10+ years,RENT,16.32,10000,debt_consolidation, 36 months,E
Fully Paid,43000,Verified,3 years,MORTGAGE,7.68,6250,small_business, 36 months,A
Fully Paid,109000,Not Verified,10+ years,MORTGAGE,13.79,12800,credit_card, 36 months,C
Fully Paid,75000,Source Verified,1 year,RENT,9.63,12000,other, 36 months,A
Fully Paid,64000,Not Verified,10+ years,MORTGAGE,12.21,4800,medical, 36 months,B
Charged Off,115000,Verified,6 years,RENT,12.53,25000,wedding, 36 months,C
Fully Paid,138996,Verified,3 years,MORTGAGE,13.79,20000,wedding, 36 months,C
Fully Paid,24000,Not Verified,1 year,MORTGAGE,13.47,11000,other, 36 months,C
Fully Paid,101004,Source Verified,2 years,RENT,17.58,20000,other, 36 months,F
Fully Paid,44600,Verified,5 years,MORTGAGE,11.89,20000,other, 36 months,B
Fully Paid,27000,Source Verified,4 years,RENT,13.79,7000,debt_consolidation, 36 months,C
Fully Paid,89900,Verified,1 year,RENT,15.37,25000,small_business, 36 months,D
Fully Paid,107000,Not Verified,2 years,MORTGAGE,13.47,17400,debt_consolidation, 36 months,C
Fully Paid,68000,Not Verified,9 years,MORTGAGE,13.47,12000,debt_consolidation, 36 months,C
Fully Paid,80004,Not Verified,1 year,RENT,13.47,5000,moving, 36 months,C
Charged Off,107028,Verified,2 years,RENT,14.42,5000,small_business, 36 months,D
Fully Paid,64000,Not Verified,5 years,MORTGAGE,9.32,2000,small_business, 36 months,A
Fully Paid,73500,Not Verified,7 years,RENT,13.16,15000,credit_card, 36 months,C
Charged Off,65000,Not Verified,3 years,MORTGAGE,14.11,19750,debt_consolidation, 36 months,D
Fully Paid,92004,Source Verified,2 years,MORTGAGE,9.63,7000,home_improvement, 36 months,A
Charged Off,24000,Not Verified,4 years,RENT,13.16,12250,small_business, 36 months,C
Fully Paid,13500,Not Verified,< 1 year,OWN,9.63,6700,major_purchase, 36 months,A
Fully Paid,21000,Not Verified,3 years,RENT,12.21,10000,other, 36 months,B
Fully Paid,58000,Source Verified,3 years,OTHER,13.79,15000,credit_card, 36 months,C
Fully Paid,25700,Source Verified,5 years,MORTGAGE,14.42,1600,home_improvement, 36 months,D
Charged Off,35000,Not Verified,6 years,MORTGAGE,12.53,5600,major_purchase, 36 months,C
Fully Paid,30000,Verified,8 years,RENT,12.84,5000,other, 36 months,C
Fully Paid,1.00E+05,Verified,< 1 year,MORTGAGE,13.47,24000,small_business, 36 months,C
Fully Paid,43004,Not Verified,2 years,RENT,15.05,5500,car, 36 months,D
Fully Paid,19632,Not Verified,10+ years,RENT,13.47,2000,other, 36 months,C
Fully Paid,62000,Not Verified,< 1 year,RENT,13.47,8400,debt_consolidation, 36 months,C
Fully Paid,82000,Verified,2 years,MORTGAGE,15.05,4500,major_purchase, 36 months,D
Fully Paid,88500,Verified,3 years,RENT,13.47,7200,debt_consolidation, 36 months,C
Fully Paid,47004,Not Verified,5 years,RENT,15.05,10000,major_purchase, 36 months,D
Fully Paid,72000,Source Verified,3 years,RENT,11.26,9500,car, 36 months,B
Fully Paid,40000,Not Verified,3 years,MORTGAGE,13.16,9000,car, 36 months,C
Fully Paid,75764,Verified,2 years,RENT,14.42,1500,car, 36 months,D
Charged Off,22000,Not Verified,1 year,OWN,15.05,8500,debt_consolidation, 36 months,D
Fully Paid,120000,Verified,10+ years,MORTGAGE,12.21,20000,small_business, 36 months,B
Fully Paid,234600,Source Verified,1 year,MORTGAGE,15.05,7500,other, 36 months,D
Fully Paid,105000,Not Verified,10+ years,MORTGAGE,12.53,5000,small_business, 36 months,C
Fully Paid,57000,Not Verified,10+ years,MORTGAGE,9.32,6000,moving, 36 months,A
Fully Paid,67000,Not Verified,< 1 year,MORTGAGE,9.32,6000,credit_card, 36 months,A
Charged Off,97992,Not Verified,10+ years,MORTGAGE,14.74,3500,other, 36 months,D
Fully Paid,210000,Verified,3 years,MORTGAGE,13.47,16000,home_improvement, 36 months,C
Fully Paid,62204,Verified,3 years,RENT,14.11,12000,debt_consolidation, 36 months,D
Fully Paid,120000,Not Verified,< 1 year,MORTGAGE,9.63,16000,small_business, 36 months,A
Fully Paid,51500,Source Verified,6 years,RENT,12.21,20000,car, 36 months,B
Fully Paid,34500,Not Verified,< 1 year,RENT,13.79,10000,credit_card, 36 months,C
Fully Paid,60000,Verified,3 years,RENT,16.95,10000,small_business, 36 months,E
Fully Paid,17916,Not Verified,1 year,RENT,6.00,3000,educational, 36 months,A
Charged Off,30000,Not Verified,< 1 year,RENT,15.05,13750,small_business, 36 months,D
Fully Paid,45000,Verified,5 years,RENT,14.74,20000,other, 36 months,D
Fully Paid,45900,Not Verified,10+ years,MORTGAGE,13.79,11500,debt_consolidation, 36 months,C
Charged Off,12000,Not Verified,5 years,MORTGAGE,15.68,3250,educational, 36 months,E
Fully Paid,60000,Source Verified,< 1 year,RENT,12.21,12000,credit_card, 36 months,B
Fully Paid,87805,Verified,1 year,RENT,16.32,13450,debt_consolidation, 36 months,E
Fully Paid,72000,Verified,3 years,RENT,14.42,20000,debt_consolidation, 36 months,D
Fully Paid,65000,Not Verified,5 years,RENT,12.84,15000,credit_card, 36 months,C
Charged Off,265000,Source Verified,5 years,MORTGAGE,17.26,25000,debt_consolidation, 36 months,F
Fully Paid,43000,Not Verified,10+ years,MORTGAGE,12.84,2500,debt_consolidation, 36 months,C
Fully Paid,87988.32,Source Verified,5 years,MORTGAGE,12.84,20000,other, 36 months,C
Fully Paid,79404,Verified,< 1 year,OTHER,15.05,20000,debt_consolidation, 36 months,D
Fully Paid,25000,Source Verified,4 years,MORTGAGE,9.32,5000,home_improvement, 36 months,A
Charged Off,69996,Verified,5 years,MORTGAGE,7.68,12000,car, 36 months,A
Charged Off,65004,Source Verified,1 year,MORTGAGE,7.37,8000,car, 36 months,A
Charged Off,60000,Not Verified,5 years,RENT,15.37,3000,wedding, 36 months,D
Fully Paid,55000,Not Verified,4 years,RENT,8.00,5000,other, 36 months,A
Fully Paid,259000,Not Verified,10+ years,MORTGAGE,14.42,20000,major_purchase, 36 months,D
Fully Paid,56496,Not Verified,5 years,RENT,9.32,2000,major_purchase, 36 months,A
Fully Paid,40000,Source Verified,2 years,RENT,9.63,10000,debt_consolidation, 36 months,A
Fully Paid,69996,Verified,4 years,MORTGAGE,8.00,4000,home_improvement, 36 months,A
Fully Paid,103363,Not Verified,4 years,MORTGAGE,12.21,15000,small_business, 36 months,B
Fully Paid,21000,Verified,4 years,OWN,13.79,8000,major_purchase, 36 months,C
Fully Paid,70000,Verified,4 years,MORTGAGE,8.00,8400,house, 36 months,A
Fully Paid,50280,Verified,< 1 year,MORTGAGE,9.63,10000,debt_consolidation, 36 months,A
Charged Off,25568,Source Verified,7 years,MORTGAGE,13.47,12000,debt_consolidation, 36 months,C
Charged Off,160000,Verified,6 years,MORTGAGE,14.11,10000,vacation, 36 months,D
Charged Off,63504,Verified,2 years,RENT,9.32,16500,car, 36 months,A
Fully Paid,37500,Not Verified,1 year,RENT,14.11,6800,small_business, 36 months,D
Fully Paid,55032,Not Verified,8 years,RENT,9.63,12000,credit_card, 36 months,A
Fully Paid,50000,Not Verified,2 years,RENT,16.32,9400,wedding, 36 months,E
Fully Paid,60000,Not Verified,< 1 year,RENT,13.47,12000,debt_consolidation, 36 months,C
Fully Paid,66000,Not Verified,6 years,RENT,11.89,6000,other, 36 months,B
Fully Paid,81000,Not Verified,2 years,MORTGAGE,8.00,5500,other, 36 months,A
Charged Off,41700,Not Verified,7 years,MORTGAGE,12.21,7750,credit_card, 36 months,B
Fully Paid,37120,Source Verified,7 years,RENT,13.47,7000,debt_consolidation, 36 months,C
Fully Paid,34928.12,Source Verified,1 year,RENT,16.00,11500,debt_consolidation, 36 months,E
Fully Paid,41900,Verified,2 years,RENT,12.84,16000,debt_consolidation, 36 months,C
Fully Paid,15000,Not Verified,< 1 year,MORTGAGE,12.84,1925,other, 36 months,C
Fully Paid,105000,Not Verified,< 1 year,MORTGAGE,12.21,19000,small_business, 36 months,B
Charged Off,125000,Verified,5 years,MORTGAGE,13.16,25000,credit_card, 36 months,C
Fully Paid,35004,Source Verified,< 1 year,RENT,15.37,7500,debt_consolidation, 36 months,D
Fully Paid,25200,Verified,< 1 year,RENT,15.68,7000,medical, 36 months,E
Fully Paid,65000,Not Verified,10+ years,RENT,16.32,15000,other, 36 months,E
Fully Paid,24000,Not Verified,< 1 year,RENT,7.68,10000,car, 36 months,A
Fully Paid,33000,Not Verified,10+ years,RENT,13.16,5000,debt_consolidation, 36 months,C
Fully Paid,45000,Not Verified,4 years,OWN,14.74,8000,debt_consolidation, 36 months,D
Fully Paid,32004,Not Verified,4 years,OWN,8.00,5500,debt_consolidation, 36 months,A
Fully Paid,55000,Source Verified,3 years,RENT,16.32,7000,debt_consolidation, 36 months,E
Fully Paid,37965.24,Verified,3 years,RENT,9.63,10000,debt_consolidation, 36 months,A
Fully Paid,46000,Not Verified,2 years,RENT,15.68,7000,debt_consolidation, 36 months,E
Fully Paid,63800,Verified,6 years,RENT,14.74,11200,wedding, 36 months,D
Fully Paid,75000,Verified,7 years,RENT,12.84,24000,small_business, 36 months,C
Fully Paid,70500,Not Verified,10+ years,RENT,8.00,15000,car, 36 months,A
Fully Paid,44000,Verified,1 year,RENT,8.00,3200,small_business, 36 months,A
